name,fuel,capacity_mw,efficiency,var_om_eur_mwh,co2_kg_per_kwh,turbine_type,efficiency_category,source,notes,confidence,ref,source_full,must_run_note,notes_updated
Eemshaven 10/20/30 (Magnum),Gas CCGT,1410.0,0.58,0.75,,Mitsubishi Power M701F (3 units each 440 MW),F-class CCGT (56-60%),RWE operator website (benelux.rwe.com/en/locations-and-projects/magnum-power-station) [primary],"Gas CCGT. Three CCUs each 440 MW (1,410 MW total). Mitsubishi turbines. Commissioned 2013-2014. RWE website states ~58%.",PRIMARY,[2],RWE (2026). Magnum power station. https://benelux.rwe.com/en/locations-and-projects/magnum-power-station,,"F-class CCGT, Mitsubishi Power M701F, 3 units each 440 MW = 1410 MW total, commissioned 2013-2014."
Moerdijk 2 CCGT,Gas CCGT,426.0,0.58,0.75,,GE Frame F-class single-shaft 430 MW,F-class CCGT (56-60%),"benelux.rwe.com/en/locations-and-projects/moerdijk-power-plant; GEM wiki: '58% efficiency, constructed by GE' [secondary]","Gas CCGT. 426 MW, Moerdijk, RWE/Essent. Commissioned 2012. 58% efficiency per GEM + operator. Turbine manufacturer GE. Note: Moerdijk 1 CHP (348 MW) mothballed Feb 2018.",PRIMARY,"[4, 16]",RWE (2026). Moerdijk power plant. https://benelux.rwe.com/en/locations-and-projects/moerdijk-power-plant/; RWE (2026). Moerdijk power station. https://benelux.rwe.com/en/locations-and-projects/moerdijk-power-plant/,,"F-class CCGT, GE Frame F single-shaft, Essent/RWE."
Maasstroom Rijnmond 2,Gas CCGT,426.0,0.52,0.75,,Siemens SGT5-4000F single-shaft + SST5-3000 steam turbine,"F-class CCGT (single-shaft, 50-55%)","power-technology.com/projects/maasstroom-energie: 'SGT5-4000F, SST5-3000, over 59%' [primary]","Gas CCGT. 426 MW, Port of Rotterdam Pernis, EP Netherlands. Commissioned 2010. >59% net efficiency. Formerly InterGen, then CCI, now EP NL.",PRIMARY,[14],Power Technology (2012). MaasStroom Energie Project. https://www.power-technology.com/projects/maasstroom-energie/,,"F-class single-shaft CCGT, Siemens SGT5-4000F + SST5-3000, Rotterdam area, EP NL."
Eems CCGT 4/5/6/7,Gas CCGT,1800.0,0.56,0.75,,GE MS9001FA-50 Hz (4 units),F-class CCGT (56-60%),ENGIE Innovation (innovation.engie.com/eems); power-technology.com profile confirms GE MS9001FA [secondary],Gas CCGT. Four GE MS9001FA-50 Hz turbines. Commissioned 1995-1997. GE 9FA CCGT efficiency ~55-57% for early variants. Value 0.557 is consistent with 1995-vintage 9FA.,PRIMARY,[32],ENGIE (2026) Engie Over ons: https://www.engie.nl/over-ons/moderne-centrales/eemscentrale,,"F-class CCGT, GE MS9001FA-50Hz, 4 units, Engie, commissioned 1995-1997."
Elsta Cogeneration,Gas CCGT CHP,455.0,0.547,0.75,,GE MS9001E (9E.03) DLN-1 (3 units ~123 MW each),"CHP (electrical only, total ~85-90%)",ASME GT1998: 'MS9001E DLN-1 at Terneuzen' (asmedigitalcollection.asme.org/GT/proceedings/GT1998/78644); GEM wiki [primary for turbine type; estimate for electrical eta],Gas CHP. Three GE MS9001E (DLN-1) for Dow Chemical. 460 MW electrical + 850 t/h steam. Hoek/Terneuzen. GE 9E.03 simple cycle ~33-34%; CCGT ~52%. CHP electrical eta ~40-45%. OPSD 0.547 likely reflects combined heat+power utilization. Flag for paper Section 4.1.,ESTIMATE,[23],"Wagemakers (1998) Wagemakers, R. A. M. (1998). Combustion aspects of MS9001E DLN-1 gas turbines at Elsta, Terneuzen. ASME Paper GT1998-78644. https://doi.org/10.1115/98-GT-07","Heat-led CHP supplying steam to Dow Chemical Hoek van Holland (~500 t/h steam, 90 MW electrical to Dow). Dispatch driven by industrial steam demand, not electricity price. Included in merit order as approximation.","CHP, GE MS9001E, Dow Chemical Hoek van Holland. Electrical efficiency only; total ~85-90% incl. heat."
Moerdijk 1 CHP,Gas CCGT CHP,0.0,0.58,0.75,,Gas turbine + steam turbine CHP 348 MW,"CHP (electrical only, total ~85-90%)",EEX Transparency: 'RWE mothballing Moerdijk 1' (eex-transparency.com) [primary for operational status]; OPSD [fallback for eta],MOTHBALLED Feb 2018 — capacity set to 0 for this year. OPERATIONAL STATUS FLAG: Mothballed February 1 2018 per RWE/EEX Transparency. Some generation in 2021. Re-mothballed after November 2022. Not consistently operational during 2018-2025 study period. Exclude or assign near-zero capacity for sensitivity analysis.,PRIMARY,"[30, 4]",EEX Transparency (2018). RWE: Mothballing of Dutch CHP Moerdijk 1. https://www.eex-transparency.com/news/market-information/detail/rwe-mothballing-of-dutch-chp-power-station-moerdijk-1; RWE (2026). Moerdijk power plant. https://benelux.rwe.com/en/locations-and-projects/moerdijk-power-plant/,"Heat-led CHP, Shell Moerdijk chemical site. Dispatch driven by industrial steam demand.","CHP, Shell Moerdijk. UNCERTAIN OPERATIONAL STATUS: reported offline 2018, possible restart 2026. Verify against ENTSO-E transparency data for study years."
Rijnmond 1,Gas CCGT CHP,750.0,0.58,0.75,,2x Siemens gas turbines (265 MW each) + 280 MW steam turbine,"CHP (electrical only, total ~85-90%)",EP NL (epnl.nl/rijnmond-centrale): configuration confirmed; GEM wiki [secondary for turbine config; estimate for eta],"Gas CHP-CCGT. 810 MW, Port of Rotterdam Vondelingenplaat. Commissioned 2004. Two Siemens GTs + Alstom ST. Mid-merit position. Electrical eta in CHP mode estimated ~51%; CCGT mode ~57-58%.",PRIMARY,[22],EP NL (2024). Rijnmond centrale. https://epnl.nl/rijnmond-centrale/,"Heat-led CHP, industrial dispatch not purely price-driven.","CHP, EP NL Pernis, 810 MW electrical."
Diemen 33 CHP,Gas CCGT CHP,249.0,0.502,0.75,,Gas turbine CHP (1995 vintage),CHP/CCGT peaker (E-class vintage),Vattenfall (powerplants.vattenfall.com/diemen); GEM wiki [fallback for eta],"Gas CHP. 249 MW electrical, commissioned 1995. District heating Amsterdam-Zuidoost, IJburg, Almere. Turbine type not found. Combined with Diemen 34 in ENTSO-E (684 MW total).",ESTIMATE,[21],Open Power System Data (2020). Conventional power plants for Europe. https://doi.org/10.25832/conventional_power_plants/2020-10-01,District heating Amsterdam. Heat-led dispatch.,"CCGT peaker/CHP, Vattenfall Diemen, district heating, ~52% electrical efficiency."
Delesto 2,Gas CCGT CHP,343.0,0.502,0.75,,GE MS9001FA-50 Hz + 120 MW steam turbine,"CHP (electrical only, total ~85-90%)",Power Engineering: 'first cogeneration with GE 9FA' (power-eng.com); GEM wiki [primary for turbine type; estimate for eta],Gas CHP. First GE 9FA cogeneration project. 360 MW (226 MW GT + 120 MW ST). Delfzijl. Supplies electricity + process steam to Nobian. CHP electrical eta: GE 9FA simple cycle ~38%; with heat extraction ~42-50%. OPSD 0.502 may overstate electrical eta. Flag Section 4.1.,TERTIARY,[28],"Power Engineering (2001). Delesto 2, Delfzijl. https://globalenergyobservatory.org/geoid/41986","Industrial CHP, Chemiepark Delfzijl (Akzo Nobel/Nobian). Heat-led dispatch.","CHP, GE MS9001FA, Akzo Nobel/Nobian Delfzijl."
Lage Weide 6,Gas CCGT CHP,248.0,0.502,0.75,,GT13E2 (ABB/Alstom/GE-Vernova) gas turbine,"CHP (electrical only, total ~85-90%)","GEM wiki; OSTI paper LW-6: '222 MWe + 187 MWth, eta_total=84%' [secondary]","Gas CHP. 266 MW electrical, commissioned 1995, Eneco Utrecht. District heating. Full DH mode: 222 MWe + 187 MWth, overall eta=84%; electrical eta~45.6%. Non-DH mode: ~55% CCGT. OPSD 0.502 reflects partial DH average.",SECONDARY,[25],GT13E2 powering UNA Netherlands combined heat and power station. OSTI report 5790119. https://www.osti.gov/biblio/5790119,District heating Utrecht. Heat-led dispatch.,"CHP, GT13E2 turbine, Eneco, Utrecht district heating."
Merwedekanaal Pegus 12,Gas CCGT CHP,225.0,0.502,0.75,,"ABB GT13E2 (later Alstom, now GE-Vernova)","CHP (electrical only, total ~85-90%)",OSTI.gov 5661830: 'GT13E2 powering UNA Netherlands CHP'; GE-Vernova GT13E2 datasheet [secondary],"Gas CHP. 224 MW, Utrecht, commissioned 1989. OSTI confirms GT13E2 at UNA Netherlands CHP station. GT13E2: >38% simple cycle, >55% CCGT. CHP mode with district heating: electrical eta ~45-50%.",SECONDARY,[24],"PEGUS 12, the world's most efficient power station. OSTI report 5661830. https://www.osti.gov/biblio/5661830",District heating Utrecht. Heat-led dispatch.,"CHP, ABB GT13E2, Eneco, Utrecht area district heating, commissioned 1989."
NAM Schoonebeek,Gas Engine CHP,128.0,0.502,0.75,,Gas turbine CHP (type not publicly identified),"CHP (electrical only, total ~85-90%)",GEM wiki; Energiebalansen Drenthe (ResearchGate) gives fuel/output figures [estimate],"Gas CHP. 128 MW electrical, Schoonebeek, Drenthe. Primary output is steam for heavy oil recovery. Public data: 13000 TJ gas -> 8000 TJ steam + 3500 TJ electricity -> electrical eta approx 27%. OPSD 0.502 significantly overstates electrical eta. Near-must-run for oilfield. Flag for paper.",ESTIMATE,[33],Global Energy Monitor (2024). Nam Schoonebeek power station. https://www.gem.wiki/Nam_Schoonebeek_power_station,"Oil field steam generation for NAM Schoonebeek heavy oil extraction. Operationally driven, not price-driven.","CHP, NAM, oil field steam generation, Schoonebeek."
Den Haag Power station,Gas CCGT CHP,112.0,0.502,0.75,,2x Rolls-Royce SK30 aero-derivative gas turbines (25 MW each),"CHP (aero-derivative, district heating)",OSTI 7123322: 'SK30 total energy plant 73%'; OSTI 6515253: 'Den Haag CHP 86%'; Uniper website [primary for turbine type; estimate for electrical eta],"Gas CHP. 112 MW, The Hague, Uniper. District heating. Two Rolls-Royce SK30 aero-derivative GTs (1983). CHP thermal efficiency 74-86% (electrical + heat). SK30 simple-cycle electrical eta ~30-33%. OPSD 0.502 overstates electrical eta; reflects combined heat+power.",SECONDARY,"[26, 27]",SK30 total energy plant rated at 73% efficiency. OSTI 7123322. https://www.osti.gov/biblio/7123322; Den Haag CHP station rated at 86% efficiency. OSTI report 6515253. https://www.osti.gov/biblio/6515253,District heating The Hague. Heat-led dispatch.,"CHP, 2x Rolls-Royce SK30, Uniper, The Hague district heating."
RoCa,Gas CCGT CHP,220.0,0.482,0.75,,GE Frame 5 (2 units 1983) + GE Frame 9E (1997),"CHP (electrical only, total ~85-90%)",GEM wiki Rotterdam_Capelle_(RoCa): 'Frame 5 + Frame 9E'; OSTI: 'ROCA combines heat and power in Rotterdam' [secondary for turbine types; estimate for eta],"Gas CHP. 264 MW, Capelle aan den IJssel, Uniper. Mixed vintage: RoCa 1/2 with GE Frame 5 (1983), RoCa 3 with GE Frame 9E (1996). CHP with district heating Rotterdam and Capelle. Frame 5 ~27% SC; Frame 9E ~33% SC.",SECONDARY,[29],Baker Hughes (2021) https://www.bakerhughes.com/sites/bakerhughes/files/2021-02/BakerHughes_Frame91E_Overview-012921.pdf,District heating Rotterdam area. Heat-led dispatch.,"CHP, GE Frame 5 + Frame 9E, Uniper, Capelle aan den IJssel."
Pergen 1/2,Gas CCGT CHP,250.0,0.482,0.75,,Gas turbine CHP (type not publicly identified),"CHP (electrical only, total ~85-90%)",power-technology.com profile; GEM wiki [estimate],"Gas CHP. 300 MW electrical + 700 t/h steam, Pernis (Shell refinery), Air Liquide. Commissioned August 2008. Turbine type not found in public sources.",ESTIMATE,[21],Open Power System Data (2020). Conventional power plants for Europe. https://doi.org/10.25832/conventional_power_plants/2020-10-01,"Industrial CHP, Shell Moerdijk / Air Liquide Pernis. Heat-led dispatch.","CHP, older unit, Air Liquide Pernis."
Velsen 25,Blast furnace gas,380.0,0.448,1.0,,BFG-fired gas turbine plant 380 MW,BFG (Schram methodology),Schram et al. (2019) citing Seebregts & Volkers (2005). No primary source found. Plant description: Modern Power Systems (2001). https://www.modernpowersystems.com/analysis/feed-forward-to-improved-economics-applying-neural-networks-at-velsen-25/ [secondary],"Blast furnace gas combustion emissions attributed to plant operator under EU ETS (Regulation 2018/2066). Carbon cost applies normally in SRMC. Plant operates near-baseload on Tata Steel waste gas; fuel purchase cost = 0 EUR/MWh_th (waste gas, no market price). Only CO2 cost and var_om apply. Efficiency from Schram et al. (2019) citing Seebregts & Volkers (2005).",SECONDARY,"[17, 18, 19]","Schram, W., Lampropoulos, I., AlSkaif, T., & Van Sark, W. (2019). On the use of average versus marginal emission factors. SMARTGREENS 2019, pp. 187-193. https://doi.org/10.5220/0007765701870193; Seebregts, A. J., & Volkers, C. H. (2005). Monitoring Nederlandse electriciteitsproductie. ECN report ECN-C--05-039.; Modern Power Systems (2001). Feed forward to improved economics: neural networks at Velsen 25. https://www.modernpowersystems.com/analysis/feed-forward-to-improved-economics-applying-neural-networks-at-velsen-25/",Operationally driven by Tata Steel IJmuiden steelworks production. BFG is a steelworks by-product. Exact fuel mix (BFG + coke oven gas + natural gas support) not publicly disclosed. Treated as merit-order participant following Schram et al. (2019) methodology. See paper Section 5.,BFG plant. Emission factor = gas EF * 1.25 per Schram et al. (2019) citing Afman and Wielders (2014) = 0.25290 tCO2/MWh_th.
Velsen 24,Blast furnace gas,460.0,0.399,1.0,,BFG-fired gas turbine plant 460 MW,BFG (Schram methodology),Schram et al. (2019) citing Seebregts & Volkers (2005). No primary source found. Plant description: Modern Power Systems (2001). https://www.modernpowersystems.com/analysis/feed-forward-to-improved-economics-applying-neural-networks-at-velsen-25/ [secondary],"Blast furnace gas combustion emissions attributed to plant operator under EU ETS (Regulation 2018/2066). Carbon cost applies normally in SRMC. Plant operates near-baseload on Tata Steel waste gas; fuel purchase cost = 0 EUR/MWh_th (waste gas, no market price). Only CO2 cost and var_om apply. Efficiency from Schram et al. (2019) citing Seebregts & Volkers (2005).",SECONDARY,"[17, 18, 19]","Schram, W., Lampropoulos, I., AlSkaif, T., & Van Sark, W. (2019). On the use of average versus marginal emission factors. SMARTGREENS 2019, pp. 187-193. https://doi.org/10.5220/0007765701870193; Seebregts, A. J., & Volkers, C. H. (2005). Monitoring Nederlandse electriciteitsproductie. ECN report ECN-C--05-039.; Modern Power Systems (2001). Feed forward to improved economics: neural networks at Velsen 25. https://www.modernpowersystems.com/analysis/feed-forward-to-improved-economics-applying-neural-networks-at-velsen-25/",Same as Velsen 25. See paper Section 5.,BFG plant. Same emission factor methodology as Velsen 25.
Eems 20,Gas OCGT,131.0,0.344,6.5,,Gas OCGT 131 MW,Older OCGT (<40%),ENTSO-E BZNL installed capacity data; OPSD [estimate],Gas OCGT 131 MW. Older unit at Eemscentrale. Rarely dispatched due to high heat rate. Turbine type and precise year not found in public sources.,ESTIMATE,[21],Open Power System Data (2020). Conventional power plants for Europe. https://doi.org/10.25832/conventional_power_plants/2020-10-01,,"Old OCGT peaker, Engie Eemshaven, commissioned 1987, rarely dispatched."
Borssele 30,Nuclear,485.0,0.355,0.0,0.0,"PWR (Framatome, 1973)",Nuclear (thermal eff ~35%),World Nuclear Association; EPZ/RWE operator; thermal/electrical ratio from public data [estimate from specification ratio],"Nuclear PWR. Net electrical efficiency = 485 MW / 1366 MWth = 35.5%. No CO2 emissions; efficiency does not affect merit-order position (CO2=0, fuel_cost=0).",PRIMARY,[34],Nuclear Power Short-Run Marginal Cost. NECG Commentary 2 (2014). https://nuclear-economics.com/wp-content/uploads/2014/10/2014-10-01-NECG-Commentary-2-Nuclear-Power-SRMC.pdf; World Nuclear Association (2024). The Economics of Nuclear Power. https://world-nuclear.org/images/articles/economics-report-2024-April.pdf,,"PWR reactor, 486 MW, commissioned 1973, licensed to 2033. Zero direct CO2."
RES (wind + solar),Solar + Wind,36474.0,1.0,0.0,0.0,Wind turbines + solar PV,Renewable (zero marginal cost),CBS Renewable electricity production and capacity statistics [primary],CBS: wind 11702 MW + solar 24772 MW (end-of-year installed capacity),PRIMARY,[31],"CBS (2026). Renewable electricity: production and capacity. Centraal Bureau voor de Statistiek, The Hague.",,"Aggregated solar and wind. Zero marginal cost, zero direct emissions. Capacity from CBS per study year."
